Site Name,MRBTSID,MRBTSNAME,local Ip Address,OSS Name,oss IP address
A3A0004A,60155,LA3A0004A,11.34.72.20,T7OSS,10.255.110.11
A3A0006A,10287,LA3A0006A2,11.34.76.85,T7OSS,10.255.110.11
A3A0012A,78782,LA3A0012A2,11.34.196.181,T7OSS,10.255.110.11
A3A0013D,63967,LA3A0013D,11.34.88.20,T7OSS,10.255.110.11
A3A0014A,60209,LA3A0014A,11.34.92.148,T7OSS,10.255.110.11
A3A0031B,60482,LA3A0031B,11.34.204.116,T7OSS,10.255.110.11
A3A0031B,78904,LA3A0031B2,11.34.204.117,T7OSS,10.255.110.11
A3A0045A,60369,LA3A0045A,11.34.99.212,T7OSS,10.255.110.11
A3A0056A,78769,LA3A0056A2,11.34.55.149,T7OSS,10.255.110.11
A3A0058A,174856,LA3A0058A,11.247.47.148,T7OSS,10.255.110.11
A3A0058A,162361,LA3A0058A2,11.247.47.149,T7OSS,10.255.110.11
A3A0369A,174623,LA3A0369A,11.247.247.244,T7OSS,10.255.110.11
A3B0005A,63982,LA3B0005A,11.66.86.212,T7OSS,10.255.110.11
A3B0005A,162903,LA3B0005A2,11.66.86.213,T7OSS,10.255.110.11
A3B0009A,150721,LA3B0009A2,11.247.192.149,T7OSS,10.255.110.11
A3B0011A,60616,LA3B0011A,11.34.13.180,T7OSS,10.255.110.11
A3B0019A,78925,LA3B0019A2,11.247.221.181,T7OSS,10.255.110.11
A3B0034A,71259,LA3B0034A,11.34.199.148,T7OSS,10.255.110.11
A3B0040A,163289,LA3B0040A2,11.66.223.53,T7OSS,10.255.110.11
A3B0043A,60453,LA3B0043A,11.34.249.148,T7OSS,10.255.110.11
A3B0061A,77446,LA3B0061A2,11.247.141.85,T7OSS,10.255.110.11
A3B0066B,76638,LA3B0066B2,11.34.201.21,T7OSS,10.255.110.11
A3B0067A,63992,LA3B0067A,11.247.71.180,T7OSS,10.255.110.11
A3B0071A,60489,LA3B0071A,11.34.206.244,T7OSS,10.255.110.11
A3B0071A,77653,LA3B0071A2,11.34.206.245,T7OSS,10.255.110.11
A3B0073B,78927,LA3B0073B2,11.34.63.181,T7OSS,10.255.110.11
A3B0074A,77742,LA3B0074A2,11.34.213.213,T7OSS,10.255.110.11
A3B0079A,60165,LA3B0079A,11.34.98.52,T7OSS,10.255.110.11
A3B0084B,77743,LA3B0084B2,11.34.45.21,T7OSS,10.255.110.11
A3B0085A,69409,LA3B0085A,11.34.203.148,T7OSS,10.255.110.11
A3B0085A,10879,LA3B0085A2,11.34.203.149,T7OSS,10.255.110.11
A3B0102A,60492,LA3B0102A,11.34.56.244,T7OSS,10.255.110.11
A3B0113C,78874,LA3B0113C2,11.34.248.213,T7OSS,10.255.110.11
A3B0114A,78788,LA3B0114A2,11.66.20.53,T7OSS,10.255.110.11
A3B0117B,73002,LA3B0117B2,11.247.158.213,T7OSS,10.255.110.11
A3B0124A,60495,LA3B0124A,11.34.194.52,T7OSS,10.255.110.11
A3B0129B,153090,LA3B0129B2,11.34.69.149,T7OSS,10.255.110.11
A3B0130A,163535,LA3B0130A2,11.34.125.213,T7OSS,10.255.110.11
A3B0136A,64000,LA3B0136A,11.34.212.116,T7OSS,10.255.110.11
A3B0139B,162827,LA3B0139B2,11.34.217.181,T7OSS,10.255.110.11
A3B0141A,60210,LA3B0141A,11.34.64.84,T7OSS,10.255.110.11
A3B0141A,79247,LA3B0141A2,11.34.64.85,T7OSS,10.255.110.11
A3B0161A,60255,LA3B0161A,11.34.70.212,T7OSS,10.255.110.11
A3B0181D,167981,LA3B0181D2,11.247.162.245,T7OSS,10.255.110.11
A3B0183E,424455,LA3B0183E2,11.34.118.85,T7OSS,10.255.110.11
A3B0186A,174576,LA3B0186A,11.34.100.212,T7OSS,10.255.110.11
A3B0192B,12812,LA3B0192B,11.66.25.244,T7OSS,10.255.110.11
A3B0195A,159571,LA3B0195A2,11.247.223.149,T7OSS,10.255.110.11
A3B0198B,11804,LA3B0198B,11.247.104.244,T7OSS,10.255.110.11
A3B0211A,64029,LA3B0211A,11.34.213.52,T7OSS,10.255.110.11
A3B0217C,64010,LA3B0217C,11.34.47.20,T7OSS,10.255.110.11
A3B0217C,158021,LA3B0217C2,11.34.47.21,T7OSS,10.255.110.11
A3B0218A,77821,LA3B0218A2,11.66.94.117,T7OSS,10.255.110.11
A3B0218A,150722,LA3B0218A3,11.66.94.118,T7OSS,10.255.110.11
A3B0220B,10303,LA3B0220B2,11.34.244.85,T7OSS,10.255.110.11
A3B0227A,77651,LA3B0227A2,11.34.88.245,T7OSS,10.255.110.11
A3B0239C,60499,LA3B0239C,11.66.33.84,T7OSS,10.255.110.11
A3B0242A,150135,LA3B0242A2,11.34.220.181,T7OSS,10.255.110.11
A3B0242A,150136,LA3B0242A3,11.34.220.182,T7OSS,10.255.110.11
A3B0243A,10304,LA3B0243A2,11.34.144.85,T7OSS,10.255.110.11
A3B0255B,10880,LA3B0255B2,11.34.48.21,T7OSS,10.255.110.11
A3B0255B,10881,LA3B0255B3,11.34.48.22,T7OSS,10.255.110.11
A3B0258A,150394,LA3B0258A2,11.34.57.21,T7OSS,10.255.110.11
A3B0258A,151092,LA3B0258A3,11.34.57.22,T7OSS,10.255.110.11
A3B0260A,64017,LA3B0260A,11.247.28.116,T7OSS,10.255.110.11
A3B0261C,60456,LA3B0261C,11.34.51.52,T7OSS,10.255.110.11
A3B0261C,77644,LA3B0261C2,11.34.51.53,T7OSS,10.255.110.11
A3B0274B,77650,LA3B0274B2,11.34.217.21,T7OSS,10.255.110.11
A3B0282A,64023,LA3B0282A,11.34.199.52,T7OSS,10.255.110.11
A3B0289A,60182,LA3B0289A,11.34.40.148,T7OSS,10.255.110.11
A3B0295B,78760,LA3B0295B2,11.34.219.21,T7OSS,10.255.110.11
A3B0295B,151093,LA3B0295B3,11.34.219.22,T7OSS,10.255.110.11
A3B0340A,64034,LA3B0340A,11.66.30.116,T7OSS,10.255.110.11
A3B0342B,273888,LA3B0342B,11.66.215.180,T7OSS,10.255.110.11
A3B0345A,66147,LA3B0345A,11.34.215.212,T7OSS,10.255.110.11
A3B0345A,78929,LA3B0345A2,11.34.215.213,T7OSS,10.255.110.11
A3B0355C,78402,LA3B0355C2,11.34.241.213,T7OSS,10.255.110.11
A3B0369A,174613,LA3B0369A,11.34.224.116,T7OSS,10.255.110.11
A3B0374A,156778,LA3B0374A,11.66.42.148,T7OSS,10.255.110.11
A3B0378C,273889,LA3B0378C,11.66.108.180,T7OSS,10.255.110.11
A3B0380A,13057,LA3B0380A,11.34.209.180,T7OSS,10.255.110.11
A3B0390A,14274,LA3B0390A,11.66.10.52,T7OSS,10.255.110.11
A3B0393B,162480,LA3B0393B,11.66.32.244,T7OSS,10.255.110.11
A3B0395B,167445,LA3B0395B2,11.34.32.85,T7OSS,10.255.110.11
A3B0398A,273894,LA3B0398A,11.34.206.20,T7OSS,10.255.110.11
A3B0402B,60187,LA3B0402B,11.34.6.20,T7OSS,10.255.110.11
A3B0402B,159270,LA3B0402B2,11.34.6.21,T7OSS,10.255.110.11
A3B0526A,141869,LA3B0526A,11.66.4.212,T7OSS,10.255.110.11
A3B0527A,97471,LA3B0527A,11.66.50.50,T7OSS,10.255.110.11
A3B0529A,196920,LA3B0529A,11.66.33.52,T7OSS,10.255.110.11
A3B0544A,14117,LA3B0544A,11.66.29.52,T7OSS,10.255.110.11
A3B0601A,868596,LA3B0601A,11.66.219.20,T7OSS,10.255.110.11
A3B0662A,872884,LA3B0662A,11.34.63.116,T7OSS,10.255.110.11
A3B0703A,273895,LA3B0703A,11.66.215.212,T7OSS,10.255.110.11
A3B0704A,273896,LA3B0704A,11.247.1.242,T7OSS,10.255.110.11
A3B0705A,273897,LA3B0705A,11.66.214.116,T7OSS,10.255.110.11
A3B0706A,273898,LA3B0706A,11.247.32.52,T7OSS,10.255.110.11
A3B0711A,273899,LA3B0711A,11.66.14.244,T7OSS,10.255.110.11
A3B0724B,277072,LA3B0724B,11.247.203.180,T7OSS,10.255.110.11
A3B0725A,273607,LA3B0725A,11.66.213.244,T7OSS,10.255.110.11
A3B0755A,284051,LA3B0755A,11.66.241.146,T7OSS,10.255.110.11
A3C0005A,78821,LA3C0005A2,11.34.183.53,T7OSS,10.255.110.11
A3C0006A,73231,LA3C0006A2,11.247.212.85,T7OSS,10.255.110.11
A3C0008D,78023,LA3C0008D2,11.34.193.181,T7OSS,10.255.110.11
A3C0009A,60521,LA3C0009A,11.247.152.20,T7OSS,10.255.110.11
A3C0011A,77655,LA3C0011A2,11.34.142.117,T7OSS,10.255.110.11
A3C0012A,60211,LA3C0012A,11.34.163.52,T7OSS,10.255.110.11
A3C0012A,78830,LA3C0012A2,11.34.163.53,T7OSS,10.255.110.11
